file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
teacher_30.png,color,NA,#B3AFA6,0.68,#504F53,0.32,#BEA07E,CG,79.39
terrorist_30.png,color,NA,#B79378,0.56,#77563C,0.44,#9D7A54,CF,88.15
CEO_31.png,color,1,#DA9D82,0.56,#895741,0.44,#9D7A54,CF,84.19
cashier_31.png,color,NA,#CE9C96,0.75,#7E5651,0.25,#E7C1B8,CI,83.78
construction_worker_31.png,color,1,#D3B19B,0.75,#7A4137,0.25,#BEA07E,CG,85.3
drug_dealer_31.png,color,NA,#775D58,0.54,#9A7E66,0.46,#81654F,CE,91.04
farmer_31.png,color,NA,#785F5C,0.59,#B6998F,0.41,#81654F,CE,86.22
fast food_worker_31.png,color,NA,#BB9E84,0.53,#A33F33,0.47,#BEA07E,CG,83.0
inmate_31.png,color,NA,#714F42,0.56,#AB7969,0.44,#6F503C,CD,89.54
janitor_31.png,color,NA,#5D3C29,0.60,#7B5640,0.40,#6F503C,CD,94.62
judge_31.png,color,1,#CAA398,0.64,#7B5649,0.36,#BEA07E,CG,82.83
lawyer_31.png,color,NA,#818383,0.81,#5D5F5F,0.19,#81654F,CE,82.64
nurse_31.png,color,1,#C6A793,0.56,#836854,0.44,#BEA07E,CG,87.61
pharmacist_31.png,color,1,#5B3B14,0.51,#7B5F3A,0.49,#6F503C,CD,90.88
police_officer_31.png,color,NA,#F5A792,0.83,#B8775E,0.17,#E7C1B8,CI,87.97
politician_31.png,color,NA,#AE8173,0.53,#6D4D42,0.47,#81654F,CE,87.38
software_engineer_31.png,color,NA,#CDA199,0.71,#7C5C55,0.29,#E7C1B8,CI,84.3
teacher_31.png,color,NA,#C59277,0.57,#7D5240,0.43,#9D7A54,CF,86.06
terrorist_31.png,color,NA,#CBAD92,0.61,#7D6654,0.39,#BEA07E,CG,88.77
CEO_32.png,color,NA,#DA9177,0.58,#814C3C,0.42,#9D7A54,CF,82.49
